Country,State,City,Name,Category - Final,Description,Website
China, Liaoning,Chaoyang,FireData,Transportation,It is an AI technology company.,http://firedata.cc
United Kingdom,,London,Firedrop,Software Development,,https://firedrop.ai/
United States,North Carolina,Durham,First,Real Estate,"First is a Durham-based company that is developing a predictive analytics platform to automate the generation and distribution of timely leads based on life-event triggers. First is able to predict when and why people are likely to move, enabling real estate professionals to reach future clients at the right time. Their unique approach combines the benefits of human judgment with the scalability of automation.",http://www.first.io
United States, North Carolina,Raleigh,First Analytics,Core AI,First Analytics designs and implements predictive analytics and machine learning solutions.,https://www.firstanalytics.com/
United States, New York,New York,firstAI,Core AI,Fixed income machine intelligence to extract deal data and harness team intelligence,http://www.firstai.co/
United States, California,Los Angeles,Fishermen Labs,Software Development,"Fishermen Labs is a Los Angeles based product development agency specializing in mobile apps, websites, VR, AR, AI, and digital marketing.",https://fishermenlabs.com/
United States, Maryland,Chevy Chase,Fishtree Inc,Education,Fishtree is an adaptive learning company that makes learning environments adaptive and personalized.,https://www.fishtree.com/
China,,Hangzhou,FitME,Communication,"FitME is an AI-enabled, conversation-based personal assistant.",http://www.fitme.ai
China,,Hangzhou,Fitme.AI,Communication,"FitME internal access to a large number of high-quality service providers, designed to allow users through conversational human-computer interaction, one-stop access to various services without having to install many APP, and no need to switch back and forth between various APP",http://www.fitme.ai
United Kingdom,,London,Fitwell,Healthcare,,https://www.fitwell.co/
Ukraine,,Borispol,FiveAI,Automation,,http://www.five.ai/
United States, California,Fremont,FixNix Inc.,Software Development,Fixnix is a developer of compliance and analytics software for large corporations.,https://fixnix.co/
China,,Guangzhou,Flame Technology,Communication,"Social media app called China’s Twitter, incorporates AI including chatbot",http://weibo.com/u/6023692802
United States, New York,New York,Flamingo Ventures,Fintech,"Flamingo provides a Cognitive Virtual Sales Assistant, â€˜Rosieâ€™, and Intelligent Guided Selling Platform, Journey Assist.",http://www.flamingo.ai
Germany,,Berlin,Fleetboard Innovation Hub,Internet of Things,,http://innovationhub.fleetboard.com/
Finland,,Helsinki,Fleetonomy.ai Oy,Robotics,"Develops a system for managing and overseeing fleets of automated, remote controlled vehicles for aerial, ground or street based use especially for urban environments",www.fleetonomy.ai
United Kingdom,,London,Flexciton,Manufacturing,Flexciton's mission is to apply cutting-edge technology to industrial data to make industrial efficiency improvements that would be impossible for a human to do on their own.,https://www.flexciton.com
India, Maharashtra,Mumbai,Flickbay,Entertainment,Flickbay is a personalized movie engine that uses Artificial Intelligence and Machine Learning to recommend unique content to every user. ,https://flickbay.com/
United States,California,Sunnyvale,Flipora,Sales/Marketing,"Flipora, formerly Infoaxe, uses Artificial Intelligence to solve the content discovery problem. Flipora users can follow interests, publications and connect with other users around shared interests to receive a highly personalized feed of content recommendations. Flipora's secret sauce is the machine learning technology to predict with extremely high accuracy what a user likes based on content they engage with. Flipora is a free service and offers apps for the iPhone, Android and Web.",http://www.flipora.com
South Korea, Seoul-t'ukpyolsi,Seoul,Flitto,Communication,"Flitto is a total translation platform ranging from AI to crowd-sourced translation, based in Korea.", https://www.flitto.com/
India, Haryana,Gurgaon,Flixstock,Computer Vision,Works on Programmatic Image Generation through Machine Learning & Artificial Intelligence,www.flixstock.com/
Netherlands,,Tilburg,Flow.ai,Communication,Flow.ai creates innovative ways of communicating by crafting products and services that allow users to automate intimate customer relationships. The products and services are driven by Artificial Intelligence yet still maintain a sense of human touch. Bots and Humans working together.,http://www.flow.ai
Canada,Quebec,Montreal,Fluent.ai,Communication,"Personalized intent recognition that learns from speech, behavior and context, for command and control interfaces",http://www.fluent.ai
South Korea,,Seoul,Fluently,Communication,Smart reply AI engine,http://www.fluenty.co
Canada,Ontario,Toronto,Flybits,Text Analytics,"Flybits is a context-as-a-service company that hides the complexity of data intelligence and contextualization, enabling enterprises to create and deliver highly personalized customer experiences that drive digital engagement.",http://www.flybits.com
China,,Shenzhen,Flypro,Entertainment,,http://www.flypro.com/cn
United States,California,San Francisco,FLYR,Business Intelligence,"FLYR, fka Hubskip, is a data science company that applies the power of predictive analytics and machine learning to the world of travel. FLYR creates ultra-precise price forecasts, leverages price predictions into products that maximize travel search revenue, and offers flexibility to online travel consumers.",http://www.flyrlabs.com
United States, Colorado,Westminster,Flyreel,Automation,Next-generation business platforms powered by Machine Learning and Artificial Intelligence,https://www.flyreel.co/
Netherlands,,Eindhoven,FOBISS,Data Analytics,,http://fobiss.com/
United States, California,Menlo Park,Focal Systems,Transportation,Focal Systems offers an artificial intelligence system for large retail stores to help leverage user demand.,https://focal.systems/
United States,California,Mountain View,Foghorn Systems,Internet of Things,"FogHorn provides an edge intelligence (or ""fog computing"") platform for industrial and commercial IoT applications, which enables a new class of real-time analytics, machine learning models and edge computing applications in a wide variety of industrial and enterprise use cases in such sectors as manufacturing, power and water utilities, oil and gas production, mining, renewable energy, transportation and health care, as well as smart grids, smart cities, smart buildings and connected vehicles. The company's industrial IoT software stack is a combination of technologies blending the benefits of real-time, on-site processing of sensor data from industrial machines with cloud-based management, analysis, and machine learning. In addition to applying intelligence at the edge where IoT devices operate, the platform lowers cloud-related bandwidth costs by refocusing the role of the cloud to specific functions such as application portability and provisioning orchestration, machine learning and advanced cloud/edge analytics.",http://www.foghorn.io
